"BOT-PHY-PHY-129","Botany","Plant Physiology","Photosynthesis","The source of oxygen released in photosynthesis is","Carbon dioxide","Glucose","Water","RuBP","C","Oxygen comes from photolysis of water."
"BOT-PHY-PHY-130","Botany","Plant Physiology","Photosynthesis","Hill reaction demonstrates","Oxygen evolution in light reaction","CO2 release in Krebs cycle","Ethanol formation","Seed dormancy","A","Hill reaction shows light-driven oxygen evolution."
"BOT-PHY-PHY-131","Botany","Plant Physiology","Photosynthesis","NADPH is formed by reduction of","NADP+","FAD","ATP","RuBP","A","NADP+ accepts electrons and hydrogen."
"BOT-PHY-PHY-132","Botany","Plant Physiology","Photosynthesis","ATP formation during photosynthesis is called","Oxidative phosphorylation","Photophosphorylation","Substrate phosphorylation only","Dephosphorylation","B","Light-driven ATP synthesis is photophosphorylation."
"BOT-PHY-PHY-133","Botany","Plant Physiology","Photosynthesis","In cyclic photophosphorylation, electrons return to","PS I","PS II","NADP+","Oxygen","A","Electrons cycle back to PS I."
"BOT-PHY-PHY-134","Botany","Plant Physiology","Photosynthesis","Non-cyclic electron flow produces","ATP, NADPH and O2","Only ATP","Only glucose","Only CO2","A","Non-cyclic flow produces ATP, NADPH and oxygen."
"BOT-PHY-PHY-135","Botany","Plant Physiology","Photosynthesis","The dark reaction is called dark because it","Occurs only at night","Does not directly require light","Destroys pigments","Occurs in darkness only","B","Calvin cycle uses products of light reaction but does not directly use light."
"BOT-PHY-PHY-136","Botany","Plant Physiology","Photosynthesis","Which is a C3 plant?","Maize","Sugarcane","Wheat","Sorghum","C","Wheat is a C3 plant."
"BOT-PHY-PHY-137","Botany","Plant Physiology","Photosynthesis","Which is a C4 plant?","Rice","Wheat","Pea","Sugarcane","D","Sugarcane is a C4 plant."
"BOT-PHY-PHY-138","Botany","Plant Physiology","Photosynthesis","The first product of CO2 fixation in C4 pathway has","Two carbon atoms","Three carbon atoms","Four carbon atoms","Six carbon atoms","C","Oxaloacetic acid is a four-carbon compound."
"BOT-PHY-PHY-139","Botany","Plant Physiology","Photosynthesis","The first product of CO2 fixation in C3 pathway has","Three carbon atoms","Four carbon atoms","Five carbon atoms","Six carbon atoms","A","PGA is a three-carbon compound."
"BOT-PHY-PHY-140","Botany","Plant Physiology","Photosynthesis","Photosynthesis is mainly an","Anabolic process","Catabolic process","Excretory process","Dormancy process","A","Photosynthesis builds complex organic molecules."
"BOT-PHY-PHY-141","Botany","Plant Physiology","Respiration","Respiration is mainly a","Catabolic process","Anabolic process only","Transport process","Osmotic process","A","Respiration breaks down food to release energy."
"BOT-PHY-PHY-142","Botany","Plant Physiology","Respiration","Aerobic respiration requires","Oxygen","Nitrogen only","Carbon monoxide","No electron acceptor","A","Oxygen acts as final electron acceptor."
"BOT-PHY-PHY-143","Botany","Plant Physiology","Respiration","Anaerobic respiration occurs in","Absence of oxygen","Excess oxygen only","Chloroplast only","Xylem only","A","Anaerobic respiration does not require oxygen."
"BOT-PHY-PHY-144","Botany","Plant Physiology","Respiration","The first step of respiration is","Krebs cycle","Glycolysis","ETS","Oxidative decarboxylation","B","Glycolysis is the first stage of glucose breakdown."
"BOT-PHY-PHY-145","Botany","Plant Physiology","Glycolysis","Glycolysis occurs in","Mitochondrial matrix","Cytoplasm","Cristae","Chloroplast stroma only","B","Glycolysis occurs in cytosol."
"BOT-PHY-PHY-146","Botany","Plant Physiology","Glycolysis","One glucose molecule produces how many pyruvate molecules in glycolysis?","One","Two","Three","Four","B","Glucose splits into two pyruvate molecules."
"BOT-PHY-PHY-147","Botany","Plant Physiology","Glycolysis","Net ATP gain in glycolysis per glucose is","1 ATP","2 ATP","4 ATP","6 ATP","B","Glycolysis produces net 2 ATP."
"BOT-PHY-PHY-148","Botany","Plant Physiology","Glycolysis","Glycolysis produces","NADH","NADPH only","FADH2 only","Oxygen","A","NAD+ is reduced to NADH during glycolysis."
"BOT-PHY-PHY-149","Botany","Plant Physiology","Glycolysis","End product of glycolysis under aerobic condition is","Pyruvic acid","Ethanol","Lactic acid only","Acetyl CoA directly","A","Glycolysis ends with pyruvate."
"BOT-PHY-PHY-150","Botany","Plant Physiology","Anaerobic respiration","Alcoholic fermentation produces","Ethanol and CO2","Oxygen and water","Glucose and oxygen","Nitrate and ammonia","A","Yeast converts pyruvate into ethanol and CO2."
"BOT-PHY-PHY-151","Botany","Plant Physiology","Anaerobic respiration","Alcoholic fermentation is common in","Yeast","Moss","Fern","Pine","A","Yeast performs alcoholic fermentation."
"BOT-PHY-PHY-152","Botany","Plant Physiology","Anaerobic respiration","Lactic acid fermentation produces","Ethanol","Lactic acid","CO2 only","Oxygen","B","Pyruvate is reduced to lactic acid."
"BOT-PHY-PHY-153","Botany","Plant Physiology","Oxidative decarboxylation","Oxidative decarboxylation converts pyruvate into","Acetyl CoA","Glucose","RuBP","OAA only","A","Pyruvate is converted to acetyl CoA before Krebs cycle."
"BOT-PHY-PHY-154","Botany","Plant Physiology","Oxidative decarboxylation","Oxidative decarboxylation occurs in","Cytoplasm","Mitochondrial matrix","Thylakoid","Nucleus","B","Pyruvate oxidation occurs in mitochondrial matrix."
"BOT-PHY-PHY-155","Botany","Plant Physiology","Oxidative decarboxylation","During oxidative decarboxylation, one pyruvate releases","CO2","O2","NH3","H2S","A","One carbon is released as CO2."
"BOT-PHY-PHY-156","Botany","Plant Physiology","Krebs cycle","Krebs cycle occurs in","Cytoplasm","Mitochondrial matrix","Thylakoid membrane","Golgi body","B","TCA cycle enzymes are in matrix."
"BOT-PHY-PHY-157","Botany","Plant Physiology","Krebs cycle","Krebs cycle is also called","Calvin cycle","TCA cycle","C4 cycle","Glyoxylate only","B","Krebs cycle is tricarboxylic acid cycle."
"BOT-PHY-PHY-158","Botany","Plant Physiology","Krebs cycle","Acetyl CoA first combines with oxaloacetate to form","Citrate","Pyruvate","RuBP","Lactate","A","Citrate is the first product of TCA cycle."
"BOT-PHY-PHY-159","Botany","Plant Physiology","Krebs cycle","The first stable compound of Krebs cycle is","Citrate","PGA","OAA","PEP","A","Acetyl CoA and OAA form citrate."
"BOT-PHY-PHY-160","Botany","Plant Physiology","Krebs cycle","Krebs cycle produces mainly","NADH and FADH2","Oxygen only","Glucose only","Chlorophyll","A","Reduced coenzymes carry electrons to ETS."
"BOT-PHY-PHY-161","Botany","Plant Physiology","Krebs cycle","One turn of Krebs cycle releases","One CO2","Two CO2","Six CO2","No CO2","B","Each acetyl CoA oxidation releases two CO2."
"BOT-PHY-PHY-162","Botany","Plant Physiology","Krebs cycle","Oxaloacetate in Krebs cycle is","Regenerated","Destroyed permanently","Converted into oxygen","Absent","A","OAA is regenerated to continue the cycle."
"BOT-PHY-PHY-163","Botany","Plant Physiology","ETS","Electron transport system is located on","Outer mitochondrial membrane","Inner mitochondrial membrane","Nuclear membrane","Cell wall","B","ETS components are on inner mitochondrial membrane."
"BOT-PHY-PHY-164","Botany","Plant Physiology","ETS","The final electron acceptor in aerobic respiration is","Carbon dioxide","Oxygen","Glucose","Nitrogen","B","Oxygen accepts electrons and forms water."
"BOT-PHY-PHY-165","Botany","Plant Physiology","ETS","Oxidative phosphorylation means","ATP formation linked with electron transport","ATP formation by light","ATP breakdown only","Glucose formation","A","ETS energy drives ATP synthesis."
"BOT-PHY-PHY-166","Botany","Plant Physiology","ETS","ATP synthase is located in","Inner mitochondrial membrane","Cytoplasm only","Cell wall","Nucleolus","A","ATP synthase synthesizes ATP during oxidative phosphorylation."
"BOT-PHY-PHY-167","Botany","Plant Physiology","ETS","Chemiosmotic theory was proposed by","Peter Mitchell","Calvin","Hatch and Slack","Mendel","A","Peter Mitchell proposed chemiosmotic hypothesis."
"BOT-PHY-PHY-168","Botany","Plant Physiology","ETS","Chemiosmosis depends on gradient of","Protons","Glucose","Oxygen molecules only","Nitrogen","A","Proton gradient drives ATP synthesis."
"BOT-PHY-PHY-169","Botany","Plant Physiology","Respiration","Complete aerobic oxidation of glucose produces","CO2, water and ATP","Ethanol only","Lactic acid only","Oxygen and glucose","A","Aerobic respiration fully oxidizes glucose."
"BOT-PHY-PHY-170","Botany","Plant Physiology","Respiration","Respiratory quotient is","CO2 evolved divided by O2 consumed","O2 consumed divided by CO2 evolved","ATP divided by glucose","Water divided by CO2","A","RQ = volume of CO2 evolved / volume of O2 consumed."
"BOT-PHY-PHY-171","Botany","Plant Physiology","Respiration","RQ of carbohydrate is approximately","1","0.7","0.3","2","A","Carbohydrates release CO2 equal to O2 consumed."
"BOT-PHY-PHY-172","Botany","Plant Physiology","Respiration","RQ of fats is usually","Less than 1","Equal to 1","More than 1","Zero always","A","Fats require more oxygen for oxidation."
"BOT-PHY-PHY-173","Botany","Plant Physiology","Respiration","Respiration rate increases with temperature up to","Optimum temperature","Freezing point only","No limit","Permanent wilting point","A","Enzymes work faster up to optimum temperature."
"BOT-PHY-PHY-174","Botany","Plant Physiology","Respiration","Very high temperature reduces respiration by","Enzyme denaturation","Increasing oxygen always","Making ATP infinite","Stopping diffusion only","A","High heat denatures respiratory enzymes."
"BOT-PHY-PHY-175","Botany","Plant Physiology","Respiration","Water is necessary for respiration because it","Activates enzymes and hydrates protoplasm","Stops glycolysis","Destroys mitochondria","Produces only dormancy","A","Hydrated cells show active metabolism."
"BOT-PHY-PHY-176","Botany","Plant Physiology","Respiration","Dry seeds respire","Very slowly","Very rapidly","At maximum rate","Not at all forever","A","Low water content reduces metabolic activity."
"BOT-PHY-PHY-177","Botany","Plant Physiology","Respiration","Germinating seeds show high respiration because","Metabolism is active","They lack enzymes","They stop growth","They lack oxygen need","A","Germination requires energy."
"BOT-PHY-PHY-178","Botany","Plant Physiology","Respiration","Which pair is correctly matched?","Glycolysis-cytoplasm","Krebs cycle-thylakoid","ETS-nucleus","Fermentation-chloroplast","A","Glycolysis occurs in cytoplasm."
"BOT-PHY-PHY-179","Botany","Plant Physiology","Respiration","Which pair is correctly matched?","Krebs cycle-mitochondrial matrix","Glycolysis-mitochondrial matrix only","ETS-cytoplasm","Calvin cycle-cristae","A","Krebs cycle occurs in mitochondrial matrix."
"BOT-PHY-PHY-180","Botany","Plant Physiology","Respiration","Which pair is correctly matched?","ETS-inner mitochondrial membrane","Glycolysis-thylakoid","Krebs cycle-cytoplasm only","Fermentation-stroma","A","ETS occurs on inner mitochondrial membrane."
"BOT-PHY-PHY-181","Botany","Plant Physiology","Respiration","Which pair is correctly matched?","Aerobic respiration-oxygen required","Anaerobic respiration-oxygen required","Fermentation-Krebs cycle compulsory","Glycolysis-mitochondrial cristae","A","Aerobic respiration uses oxygen."
"BOT-PHY-PHY-182","Botany","Plant Physiology","Respiration","Which pair is correctly matched?","Alcohol fermentation-ethanol and CO2","Lactic fermentation-oxygen","Krebs cycle-glucose directly","ETS-pyruvate formation","A","Alcohol fermentation produces ethanol and CO2."
"BOT-PHY-PHY-183","Botany","Plant Physiology","Respiration","Which pair is correctly matched?","Pyruvate oxidation-acetyl CoA","Glycolysis-citrate","Krebs cycle-glucose to pyruvate","ETS-ethanol formation","A","Pyruvate is converted into acetyl CoA."
"BOT-PHY-PHY-184","Botany","Plant Physiology","Respiration","Which compound enters Krebs cycle?","Acetyl CoA","Glucose directly","RuBP","PEP","A","Acetyl CoA enters TCA cycle."
"BOT-PHY-PHY-185","Botany","Plant Physiology","Respiration","Which compound is regenerated in Krebs cycle?","Oxaloacetate","Pyruvate only","Glucose","Oxygen","A","OAA is regenerated at the end of Krebs cycle."
"BOT-PHY-PHY-186","Botany","Plant Physiology","Respiration","The major ATP yield in aerobic respiration comes from","Oxidative phosphorylation","Glycolysis only","Fermentation only","Pyruvate formation only","A","Most ATP is formed through ETS and oxidative phosphorylation."
"BOT-PHY-PHY-187","Botany","Plant Physiology","Respiration","Anaerobic respiration yields less ATP because","Glucose is incompletely oxidized","Oxygen produces more glucose","No glycolysis occurs","Krebs cycle becomes faster","A","Incomplete oxidation releases less energy."
"BOT-PHY-PHY-188","Botany","Plant Physiology","Respiration","In alcoholic fermentation, acetaldehyde is reduced to","Ethanol","Lactic acid","Citrate","OAA","A","Acetaldehyde accepts hydrogen to form ethanol."
